Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1766840428807,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0,0,0,0,0,8.41119384765625,0,0,0,0,0,0,0,0,0,93.43294525146484,9.348403930664063,0,0,0,0,107091.19073486328,219836.27020263672,439.55792236328125,16788910080,13421772800,13077712896,4215197696
199,1766840428807,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,9.037933349609375,10.849632263183594,8.143295288085938,8.137687683105469,8.137687683105469,100,8.156364440917969,8.156364440917969,8.156364440917969,8.156364440917969,8.154495239257813,8.154495239257813,8.940811157226563,8.154495239257813,8.154495239257813,77.66571044921875,64.22181701660156,8.147026062011719,8.145156860351563,8.143295288085938,0,107091.27154541016,219836.3265991211,439.55792236328125,16788910080,13421772800,13077757952,4216229888
200,1766840429008,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1.2254867553710938,27.565093994140625,0.515533447265625,0.5154876708984375,0.5154876708984375,9.3331298828125,10.775466918945313,1.602325439453125,0.521209716796875,0.5211563110351563,0.521209716796875,0.5211563110351563,27.85706329345703,0.5282211303710938,0.5344390869140625,68.1020736694336,51.155738830566406,0.5199661254882813,1.662322998046875,0.515533447265625,0,107093.77709960938,219837.80334472656,439.5628662109375,16788910080,13421772800,13108015104,4388052992
199,1766840429208,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1.1162185668945313,33.60662078857422,3.8096389770507813,0.0567169189453125,0.056671142578125,15.023040771484375,0.05661773681640625,0.056671142578125,0.05657196044921875,0.05657196044921875,0.0564727783203125,0.0564727783203125,40.12413787841797,0.05950927734375,0.0567169189453125,72.49561309814453,68.8414306640625,0.1961822509765625,16.788604736328125,0.06005859375,0,107096.83349609375,219839.89068603516,439.56414794921875,16788910080,13421772800,13145600000,4397367296
201,1766840429408,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0.38271331787109375,54.88142776489258,0.9855728149414063,0.0927581787109375,0.086456298828125,0.62225341796875,0.0862579345703125,0.0861053466796875,0.085906982421875,0.085906982421875,0.08580780029296875,0.0857086181640625,55.61172866821289,0.0869598388671875,0.08850860595703125,83.74381256103516,75.50161743164063,0.0855560302734375,24.921974182128906,0.09100341796875,0,107100.62713623047,219842.74383544922,439.56671142578125,16788910080,13421772800,13176516608,4411236352
200,1766840429610,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0.04186248779296875,30.186485290527344,0.0460052490234375,0,0,4.595954895019531,0.1038818359375,0,0,0,0,0,18.17688751220703,0,0,70.09747314453125,66.67149353027344,0,3.3995361328125,0,0,107103.55310058594,219844.62158203125,439.56671142578125,16788910080,13421772800,13181685760,4417400832
200,1766840429810,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0.8750076293945313,36.65264892578125,4.244171142578125,0.6861572265625,2.4171524047851563,14.732208251953125,16.881851196289063,4.077873229980469,0.8981475830078125,1.4429779052734375,0.6876449584960938,0.6872482299804688,36.32948303222656,0.6998138427734375,1.3895492553710938,70.5669174194336,67.31255340576172,1.2451934814453125,29.10857391357422,0.6949996948242188,0,107106.8472290039,219846.89318847656,439.5723876953125,16788910080,13421772800,13217046528,5079572480
199,1766840430012,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0.6226654052734375,45.67998504638672,0.16915130615234375,0.1414642333984375,0.14136505126953125,0.1412200927734375,0.14112091064453125,0.141021728515625,0.14092254638671875,0.14076995849609375,0.1406707763671875,0.14057159423828125,49.122833251953125,0.1505584716796875,0.14279937744140625,76.35406494140625,62.4903564453125,0.14463043212890625,10.34832763671875,0.14443206787109375,0,107110.11083984375,219849.14935302734,439.5723876953125,16788910080,13421772800,13240758272,5089222656
203,1766840430212,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0.6568832397460938,62.970497131347656,0.6855010986328125,0,0,0.8616943359375,0,0,0,0,0,0,58.036216735839844,0,0,87.26435089111328,80.88247680664063,0.1716766357421875,48.580684661865234,0,0,107113.35693359375,219851.38397216797,439.5723876953125,16788910080,13421772800,13263159296,5099274240
199,1766840430415,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0,24.209190368652344,8.992790222167969,0,0,0,0,0,0,0,0,0,16.769058227539063,0,0,79.72374725341797,57.091129302978516,0,13.833992004394531,0,0,107116.40881347656,219853.58599853516,439.5732421875,16788910080,13421772800,13268709376,5100462080
