Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1766841928888,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0,0,0,0,0,0,0,10.693618774414063,0,0,0,0,0,0,3.0694198608398438,0,0,100,0,0,0,120422.44958496094,226175.52575683594,442.77923583984375,16788910080,13421772800,13317718016,4428488704
200,1766841928888,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,3.9023895263671875,3.889129638671875,3.4846343994140625,3.4746856689453125,3.4746856689453125,3.4746856689453125,3.4746856689453125,100,3.26580810546875,3.2624893188476563,3.2591781616210938,3.2591781616210938,3.8824996948242188,5.212028503417969,77.16255950927734,3.8758697509765625,3.8758697509765625,100,3.4846343994140625,3.487945556640625,0,120422.47143554688,226175.52575683594,442.77923583984375,16788910080,13421772800,13317746688,4428488704
200,1766841929089,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,7.133445739746094,0.4918670654296875,14.361465454101563,0.5146408081054688,5.7963104248046875,5.786094665527344,1.7159423828125,10.591636657714844,0.5490264892578125,0.5492782592773438,0.5491714477539063,0.5491714477539063,0.4593353271484375,28.902366638183594,62.85109329223633,0.48963165283203125,0.6509780883789063,55.792694091796875,33.71044921875,0.5215225219726563,0,120425.0902709961,226177.12469482422,442.7838134765625,16788910080,13421772800,13356285952,4606132224
200,1766841929289,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,14.147186279296875,0,23.15105438232422,0,0.31683349609375,0,0,0.24066925048828125,0,0,0,0,0,41.92381286621094,71.38963317871094,0.216949462890625,0.28841400146484375,70.79981994628906,35.18708038330078,0,0,120428.05310058594,226179.1300048828,442.7838134765625,16788910080,13421772800,13385568256,4615655424
201,1766841929490,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2.7929000854492188,0.3059234619140625,30.32465362548828,0.16803741455078125,0.188018798828125,0.15203857421875,0.152740478515625,2.507110595703125,0.15179443359375,0.151092529296875,0.151092529296875,0.15139007568359375,0.19370269775390625,50.89295959472656,81.9311752319336,0.442169189453125,0.531768798828125,78.59907531738281,51.5222053527832,0.162353515625,0,120431.77716064453,226181.85809326172,442.78570556640625,16788910080,13421772800,13418700800,4619010048
200,1766841929691,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,8.194183349609375,0.43849945068359375,16.947654724121094,1.9910049438476563,0.7454452514648438,0.351959228515625,0.6437911987304688,1.2085800170898438,0.3426361083984375,0.305511474609375,0.14308929443359375,0.14244842529296875,0.41733551025390625,28.440650939941406,71.53164672851563,0.8578643798828125,0.8019485473632813,60.6310920715332,21.148483276367188,0.232208251953125,0,120435.05047607422,226184.09686279297,442.78704833984375,16788910080,13421772800,13418835968,4622581760
200,1766841929892,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,6.946868896484375,0.03836822509765625,22.530372619628906,0.2376708984375,10.155998229980469,1.428375244140625,0.61798095703125,12.076202392578125,0.23152923583984375,0.23152923583984375,0.23152923583984375,0.231475830078125,0.03836822509765625,39.48265075683594,71.72075653076172,0.20659637451171875,4.133537292480469,64.03465270996094,37.00096893310547,0.23737335205078125,0,120438.30853271484,226186.36279296875,442.7919921875,16788910080,13421772800,13453328384,5284659200
200,1766841930092,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,4.173072814941406,0.24141693115234375,6.2096405029296875,0.21533966064453125,1.3262252807617188,0.8439407348632813,0.21518707275390625,1.8854141235351563,0.21523284912109375,0.2151336669921875,0.2151336669921875,0.21503448486328125,0.21837615966796875,47.69318771362305,67.75616455078125,0.2141876220703125,0.2204742431640625,73.25402069091797,45.20290756225586,0.23598480224609375,0,120441.47491455078,226188.54626464844,442.7919921875,16788910080,13421772800,13474197504,5293281280
199,1766841930292,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,19.326454162597656,0.1598968505859375,49.452239990234375,0.0708465576171875,0.07073974609375,0.07073974609375,0.07073974609375,1.347259521484375,0.0706939697265625,0.07064056396484375,0.07064056396484375,0.0705413818359375,0.078826904296875,55.04243469238281,83.19450378417969,0.237274169921875,1.1032028198242188,82.1998062133789,55.24717712402344,0.07982635498046875,0,120446.50714111328,226192.58807373047,442.79339599609375,16788910080,13421772800,13503062016,5305057280
199,1766841930492,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2.1091461181640625,0.15435791015625,23.72821044921875,0.11423492431640625,0.10773468017578125,0.10773468017578125,0.10758209228515625,0.10748291015625,0.1074371337890625,0.12157440185546875,0.10733795166015625,0.10723876953125,0.1083831787109375,27.425003051757813,57.71660232543945,0.13881683349609375,5.01031494140625,66.59185791015625,28.102249145507813,0.1086883544921875,0,120449.47290039063,226194.61322021484,442.79339599609375,16788910080,13421772800,13509226496,5308985344
