Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1766842678886,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0,0,0,0,0,0,0,0,64.3946762084961,0,0,0,0,0,13.890708923339844,0,4.204803466796875,0,0,0,0,127126.513671875,229377.11248779297,444.46185302734375,16788910080,13421772800,13406724096,4513681408
200,1766842678887,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,127126.52941894531,229377.11889648438,444.46185302734375,16788910080,13421772800,13407076352,4513681408
200,1766842679087,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,21.309188842773438,13.347389221191406,33.181724548339844,12.165290832519531,0.6220245361328125,0.6392822265625,0.6463241577148438,0.699737548828125,25.065277099609375,18.97772216796875,9.604843139648438,1.9847488403320313,20.856788635253906,13.322738647460938,73.57749938964844,20.77654266357422,58.679718017578125,16.88768768310547,41.7224006652832,13.887283325195313,0,127129.58032226563,229379.08099365234,444.468994140625,16788910080,13421772800,13446930432,4689186816
200,1766842679287,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,20.230453491210938,0.6606292724609375,49.23235321044922,0,0.04335784912109375,0.01416778564453125,0.10931396484375,0.13365936279296875,1.909637451171875,0.093994140625,0.03397369384765625,0.0134735107421875,21.03601837158203,0.01467132568359375,66.90696716308594,3.2751388549804688,76.53561401367188,0.43770599365234375,41.08461380004883,0.00958251953125,0,127133.51373291016,229381.97094726563,444.468994140625,16788910080,13421772800,13458862080,4693217280
200,1766842679488,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,41.076141357421875,0.3560791015625,57.23897933959961,0.365966796875,0.537994384765625,0.36077117919921875,0.36072540283203125,0.360626220703125,0.8186721801757813,0.9104995727539063,0.6000595092773438,0.539337158203125,5.760658264160156,0.36296844482421875,82.8802719116211,0.4878082275390625,83.43004608154297,0.35692596435546875,52.49348831176758,0.36182403564453125,0,127137.74377441406,229385.20935058594,444.468994140625,16788910080,13421772800,13501849600,4714737664
200,1766842679689,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,15.220314025878906,0.409393310546875,35.95704650878906,0.393951416015625,0.428802490234375,0.42865753173828125,0.4276580810546875,0.42577362060546875,3.1620864868164063,0.42026519775390625,0.4188232421875,0.41927337646484375,1.7770767211914063,0.40537261962890625,63.6884765625,0.4158477783203125,71.1386947631836,0.398223876953125,26.31707763671875,0.45953369140625,0,127140.83404541016,229387.3032836914,444.47393798828125,16788910080,13421772800,13508841472,4726087680
199,1766842679889,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,13.589271545410156,0,37.39552688598633,0,0,0,0,0,10.837570190429688,4.419349670410156,1.0655593872070313,0,3.865875244140625,0,77.88113403320313,2.8162155151367188,68.47073364257813,0.173309326171875,39.71904373168945,0,0,127143.97064208984,229389.4334716797,444.4796142578125,16788910080,13421772800,13547487232,5387935744
200,1766842680089,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,24.8914794921875,0.0948333740234375,43.049896240234375,0.06690216064453125,1.5135498046875,1.3243865966796875,2.2786941528320313,0.6502304077148438,14.56951904296875,11.308891296386719,3.7542724609375,6.6855926513671875,13.05267333984375,0.1602325439453125,67.63409423828125,0.15358734130859375,71.85317993164063,0.07135009765625,41.514060974121094,0.075042724609375,0,127147.9058227539,229392.35174560547,444.48126220703125,16788910080,13421772800,13568110592,5400674304
200,1766842680290,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,29.690650939941406,0.17847442626953125,57.58525848388672,0.16249847412109375,0.208587646484375,0.20479583740234375,0.21053314208984375,0.20883941650390625,40.609214782714844,1.0388946533203125,1.494873046875,0.19635009765625,18.63665771484375,0.1664886474609375,78.87158203125,1.3456039428710938,83.29681396484375,0.6505279541015625,57.39509582519531,0.1727294921875,0,127152.0419921875,229395.4359741211,444.48126220703125,16788910080,13421772800,13617778688,5411860480
200,1766842680490,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,17.45172882080078,0.9375,30.728973388671875,0.35230255126953125,0.24687957763671875,0.251220703125,0.25186920166015625,0.25826263427734375,6.8690338134765625,1.5703201293945313,1.4661026000976563,0.37021636962890625,11.9842529296875,0.7048492431640625,64.33329772949219,1.6735916137695313,66.21483612060547,1.0522537231445313,31.412010192871094,1.0049819946289063,0,127155.37200927734,229397.7925415039,444.48126220703125,16788910080,13421772800,13620342784,5411041280
