Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1765794390163,1506,1506,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,0.9720077514648438,0.48870849609375,98.81150817871094,0.25598907470703125,0.2554473876953125,0.25490570068359375,0.25490570068359375,0.25490570068359375,0.25598907470703125,0.25598907470703125,0.254364013671875,0.254364013671875,0.3144378662109375,0.3128204345703125,36.81726837158203,1.973785400390625,59.9933967590332,0.629425048828125,0.34583282470703125,0.344207763671875,0,15924.716918945313,10034.40771484375,33.03741455078125,16788910080,12884901888,10845753344,0
200,1765794390163,1506,1506,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,21.786407470703125,100,0,0,0,0,15924.75244140625,10034.428588867188,33.03741455078125,16788910080,12884901888,10845777920,0
200,1765794390364,1506,1506,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,14.583953857421875,0,23.86547088623047,0,0,0,0,0,0,0,0,0,9.243629455566406,0,54.67979049682617,12.678749084472656,73.87094116210938,5.1994171142578125,0.32733154296875,0,0,15926.690612792969,10035.469482421875,33.044677734375,16788910080,12884901888,10876637184,0
201,1765794390564,1506,1506,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,2.0638656616210938,0.0254058837890625,1.0541229248046875,0.181396484375,0.18134307861328125,0.18134307861328125,0.181396484375,0.18134307861328125,0.181396484375,0.18134307861328125,0.18134307861328125,0.18134307861328125,0.30585479736328125,0.02519989013671875,75.2184829711914,34.832130432128906,80.3019790649414,8.617935180664063,0.18134307861328125,0.181396484375,0,15928.801025390625,10036.758972167969,33.044677734375,16788910080,12884901888,10891833344,0
199,1765794390768,1506,1506,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,4.3973846435546875,0,0,0,0,0,0,0,0,0,0,0,2.6223678588867188,0,86.19773864746094,42.566314697265625,92.29035186767578,22.38043212890625,0,0,0,15931.393188476563,10038.363708496094,33.04608154296875,16788910080,12884901888,10912346112,0
206,1765794390967,1506,1506,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,32.94451141357422,1.5490493774414063,3.0753555297851563,1.0327529907226563,1.0326385498046875,1.0325241088867188,1.0326385498046875,0.8229446411132813,0.8229446411132813,0.8228912353515625,0.8227767944335938,0.8227157592773438,20.35358428955078,1.5488739013671875,81.65535736083984,60.04720687866211,87.7197265625,40.259620666503906,2.1945266723632813,1.2983322143554688,0,15933.183837890625,10039.414245605469,33.04608154296875,16788910080,12884901888,10913492992,0
133,1765794391241,1506,1506,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,27.083251953125,0,1.2880325317382813,0,0,0,0,0,0,0,0,0,17.677391052246094,0,93.7962417602539,74.14889526367188,95.39901733398438,72.04077911376953,0.74969482421875,0,0,15936.263854980469,10041.312805175781,33.048828125,16788910080,12884901888,10926301184,0
201,1765794391375,1506,1506,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,24.64208221435547,0,3.6933364868164063,0,0,0,0,0,0,0,0,0,14.70941162109375,0,75.61997985839844,49.64706039428711,76.94339752197266,36.034461975097656,0.2722930908203125,0,0,15937.65283203125,10042.1259765625,33.0494384765625,16788910080,12884901888,10926125056,0
202,1765794391577,1506,1506,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,13.277313232421875,0,1.1776962280273438,0,0,0,0,0,0,0,0,0,2.530517578125,0,75.33946990966797,24.65631866455078,89.32380676269531,18.663902282714844,0,0,0,15940.013488769531,10043.593200683594,33.0501708984375,16788910080,12884901888,10928189440,0
200,1765794391780,1506,1506,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,16.04027557373047,0.1825714111328125,2.4455718994140625,0.1883392333984375,0.1883392333984375,0.18839263916015625,0.1883392333984375,0.18839263916015625,0.18839263916015625,0.1883392333984375,0.18829345703125,0.1883392333984375,5.0381317138671875,0.182769775390625,85.61111450195313,55.291831970214844,90.094970703125,41.47618865966797,0.5571670532226563,0.32120513916015625,0,15942.491516113281,10045.174865722656,33.05804443359375,16788910080,12884901888,10926223360,0
