Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1765794460027,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,3.7171554565429688,3.714324951171875,3.5672454833984375,3.5672454833984375,3.5655517578125,3.5644149780273438,3.5644149780273438,3.5644149780273438,3.5621566772460938,3.5621566772460938,3.560455322265625,3.5598907470703125,3.712066650390625,3.7109298706054688,83.10111999511719,7.345497131347656,43.88007354736328,3.5700759887695313,3.5689468383789063,3.5683746337890625,0,16458.735473632813,10277.012512207031,34.85430908203125,16788910080,12884901888,10995200000,0
199,1765794460027,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,61.868404388427734,0,0,0,0,0,0,0,0,0,0,0,0,0,100,81.67972564697266,99.58026885986328,0,0,0,0,16458.76434326172,10277.044250488281,34.85430908203125,16788910080,12884901888,10995212288,0
200,1765794460227,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,17.002487182617188,0.27407073974609375,0.28845977783203125,0.28851318359375,0.28851318359375,0.28845977783203125,0.28851318359375,0.28845977783203125,0.28851318359375,0.28851318359375,0.2885589599609375,0.288665771484375,12.251792907714844,0.27411651611328125,59.67399597167969,17.72484588623047,52.3497200012207,2.4894866943359375,0.5037078857421875,0.28845977783203125,0,16460.334899902344,10277.781921386719,34.85955810546875,16788910080,12884901888,11021737984,0
205,1765794460428,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,1.01361083984375,0,0,0,0,0,0,0,0,0,0,0,1.743621826171875,0,75.3387222290039,30.757659912109375,79.28693389892578,24.958282470703125,0,0,0,16462.992797851563,10279.585083007813,34.86083984375,16788910080,12884901888,11043438592,0
208,1765794460634,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,2.1632537841796875,0,0.6761856079101563,0,0,0,0,0,0,0,0,0,1.37042236328125,0,90.19631958007813,47.14105987548828,90.50202941894531,32.47418212890625,0,0,0,16465.68817138672,10281.44140625,34.86083984375,16788910080,12884901888,11059720192,0
193,1765794460849,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,1.0854873657226563,0,0,0,0,0,0,0,0,0,0,0,1.3538284301757813,0,89.34007263183594,42.754676818847656,85.85382843017578,28.735496520996094,0,0,0,16469.02655029297,10283.731750488281,34.86083984375,16788910080,12884901888,11081793536,0
203,1765794461043,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,10.202346801757813,2.6737899780273438,2.7269210815429688,2.6530075073242188,2.6528701782226563,2.652740478515625,2.6526107788085938,2.6524200439453125,2.6523513793945313,2.6522216796875,2.6520309448242188,2.6519012451171875,10.108749389648438,2.6639785766601563,94.9165267944336,28.118438720703125,95.41407775878906,16.203041076660156,3.4966964721679688,2.653656005859375,0,16470.601196289063,10284.664428710938,34.862060546875,16788910080,12884901888,11087003648,0
200,1765794461247,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,4.039314270019531,0,0,0,0,0,0,0,0,0,0,0,1.5450439453125,0,82.1810073852539,22.423805236816406,86.44754028320313,9.716148376464844,0.0247650146484375,0,0,16472.83905029297,10286.082946777344,34.8636474609375,16788910080,12884901888,11084419072,0
199,1765794461447,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,3.7918319702148438,0,0,0,0,0,0,0,0,0,0,0,2.8735275268554688,0,65.00213623046875,19.529922485351563,78.62409973144531,10.163444519042969,0.08177947998046875,0,0,16475.09649658203,10287.532836914063,34.8682861328125,16788910080,12884901888,11089911808,0
199,1765794461648,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,3.2644119262695313,0,0.9206390380859375,0,0,0,0,0,0,0,0,0,0.8730697631835938,0,52.044830322265625,30.554832458496094,80.75049591064453,15.125144958496094,0,0,0,16477.144165039063,10288.764343261719,34.87005615234375,16788910080,12884901888,11101917184,0
200,1765794461848,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,4.8960113525390625,0.38167572021484375,0.198333740234375,0.18059539794921875,0.1802978515625,0.1800994873046875,0.17984771728515625,0.179595947265625,0.17949676513671875,0.17919921875,0.1790008544921875,0.178802490234375,13.063148498535156,0.178802490234375,67.04757690429688,32.529380798339844,83.07002258300781,25.44542694091797,0.2681732177734375,0.1810455322265625,0,16479.540954589844,10290.32958984375,34.87890625,16788910080,12884901888,11119050752,0
200,1765794462049,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,10.634002685546875,0,0,0,0,0,0,0,0,0,0,0,4.122047424316406,0,72.26898193359375,76.44573211669922,75.25640869140625,58.14908218383789,0,0,0,16482.260192871094,10292.076782226563,34.8897705078125,16788910080,12884901888,11138203648,0
200,1765794462249,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,5.1454010009765625,3.5137176513671875,6.027091979980469,5.900459289550781,5.9002532958984375,5.9005126953125,5.9005126953125,5.900718688964844,5.90087890625,5.900825500488281,5.900665283203125,5.9007720947265625,12.576461791992188,3.5137176513671875,82.23814392089844,75.69508361816406,77.58556365966797,68.24995422363281,6.6816864013671875,5.9004058837890625,0,16484.48095703125,10293.506896972656,34.8897705078125,16788910080,12884901888,11141742592,0
209,1765794462451,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,2.9072723388671875,0,0,0,0,0,0,0,0,0,0,0,10.885650634765625,0,76.72988891601563,58.74029541015625,79.53582763671875,38.232975006103516,0.5162582397460938,0,0,16487.22918701172,10295.295715332031,34.89068603515625,16788910080,12884901888,11142737920,0
202,1765794462661,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,2.3838882446289063,0.67333984375,2.6888656616210938,1.2492294311523438,0.43965911865234375,0.43965911865234375,0.43956756591796875,0.43951416015625,0.439422607421875,0.43936920166015625,0.43932342529296875,0.43932342529296875,16.025047302246094,0.44077301025390625,86.80106353759766,75.49044799804688,92.76250457763672,72.55734252929688,1.4645309448242188,0.43975830078125,0,16489.886596679688,10297.059448242188,34.9010009765625,16788910080,12884901888,11141931008,0
200,1765794462864,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,1.8097305297851563,0,0,0,0,0,0,0,0,0,0,0,2.379058837890625,0,79.92792510986328,75.94780731201172,83.31011199951172,79.81838989257813,0,0,0,16492.500732421875,10298.705383300781,34.90374755859375,16788910080,12884901888,11143991296,0
200,1765794463064,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,24.512428283691406,4.920166015625,12.071884155273438,2.5361557006835938,15.809959411621094,3.0732498168945313,2.52520751953125,2.525848388671875,2.5316162109375,2.5317230224609375,2.5317764282226563,2.5459823608398438,31.770668029785156,2.8370208740234375,82.07842254638672,58.9553108215332,82.26475524902344,55.540489196777344,24.246871948242188,2.5209808349609375,0,16494.867248535156,10300.227233886719,34.90533447265625,16788910080,12884901888,11159556096,0
200,1765794463265,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,29.652099609375,1.68206787109375,30.793838500976563,0.042266845703125,1.406219482421875,2.4316635131835938,0.129150390625,0,0,0,0,0,42.62984085083008,0.6421737670898438,81.8746109008789,16.45812225341797,69.6297607421875,3.5098419189453125,20.498985290527344,0.37380218505859375,0,16497.889709472656,10302.248168945313,34.90533447265625,16788910080,12884901888,11191119872,0
199,1765794463465,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1506,1506,27.27630615234375,10.944442749023438,44.8309211730957,0.0023040771484375,23.373382568359375,2.5464096069335938,3.6024627685546875,0,0,0,0,0,52.12340545654297,13.328414916992188,72.01870727539063,43.788211822509766,51.743003845214844,28.049095153808594,46.1221809387207,0.23671722412109375,0,16501.415771484375,10304.754028320313,34.9058837890625,16788910080,12884901888,11194413056,0
