Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1765796718578,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,1.314910888671875,1.3135147094726563,0,0,0,0,0,0,0,0,0,0,1.3144454956054688,42.711490631103516,43.45197296142578,15.422615051269531,0,34.19505310058594,0,0,0,38041.3955078125,22300.793395996094,70.35992431640625,16788910080,12884901888,12378689536,0
200,1765796718578,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,8.081863403320313,8.085357666015625,34.97368621826172,34.97135925292969,34.97135925292969,34.97252655029297,34.969032287597656,34.967864990234375,34.966705322265625,34.969032287597656,34.967864990234375,34.969032287597656,8.086524963378906,91.17770385742188,76.0361328125,11.870170593261719,11.869003295898438,68.6423110961914,41.850608825683594,34.97135925292969,0,38041.475524902344,22300.849670410156,70.35992431640625,16788910080,12884901888,12378812416,0
200,1765796718779,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,0,0,0,0,0,0,0,0,0,0,0,0,0,16.396835327148438,63.12608337402344,3.5367584228515625,6.851043701171875,41.97175979614258,6.8125152587890625,0,0,38042.887268066406,22301.418029785156,70.36328125,16788910080,12884901888,12395585536,0
199,1765796718980,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,0,0.04961395263671875,0.6936721801757813,0,0,0,0,0,0,0,0,0,0,6.3290863037109375,63.93518829345703,13.587287902832031,40.5713005065918,67.11837768554688,3.483062744140625,0,0,38044.35400390625,22302.059936523438,70.36328125,16788910080,12884901888,12413116416,0
199,1765796719180,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,0.13704681396484375,0.2445220947265625,0.14324188232421875,0.143035888671875,0.14293670654296875,0.14273834228515625,0.14258575439453125,0.14243316650390625,0.142181396484375,0.14202880859375,0.14192962646484375,0.14177703857421875,0.13654327392578125,1.5968780517578125,60.370697021484375,13.893241882324219,38.50897979736328,82.68640899658203,0.279876708984375,0.1433868408203125,0,38045.84100341797,22302.756958007813,70.36328125,16788910080,12884901888,12418293760,0
199,1765796719381,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,8.583328247070313,0,7.24725341796875,0,0,0,0,0,0,0,0,0,0,28.54913330078125,77.12127685546875,38.84498977661133,58.623390197753906,77.04977416992188,11.125961303710938,0,0,38048.077087402344,22304.019165039063,70.36328125,16788910080,12884901888,12427141120,0
199,1765796719581,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,4.2124786376953125,3.555694580078125,6.267494201660156,4.7098541259765625,4.7162322998046875,4.716285705566406,4.716438293457031,4.716697692871094,4.716804504394531,4.717010498046875,4.7171173095703125,4.7172698974609375,3.5617141723632813,22.55669403076172,86.21598052978516,33.76274871826172,48.218910217285156,87.85106658935547,19.3975830078125,4.705596923828125,0,38049.61633300781,22304.826782226563,70.36328125,16788910080,12884901888,12443643904,0
203,1765796719781,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,0.01940155029296875,0.10727691650390625,0,0,0,0,0,0,0,0,0,0,0.01869964599609375,1.9361724853515625,83.46849060058594,11.630355834960938,30.0953369140625,93.64480590820313,0.38488006591796875,0,0,38051.36181640625,22305.7685546875,70.36328125,16788910080,12884901888,12451704832,0
200,1765796719985,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,0,0,1.1031036376953125,0,0,0,0,0,0,0,0,0,0,8.569503784179688,87.2729721069336,28.74652862548828,43.98138427734375,92.77986907958984,4.31707763671875,0,0,38053.114196777344,22306.69775390625,70.36328125,16788910080,12884901888,12468424704,0
200,1765796720186,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,0,0,0.2332611083984375,0,0,0,0,0,0,0,0,0,0,1.9784622192382813,73.64656066894531,16.74443817138672,39.75535583496094,86.90364074707031,2.2599411010742188,0,0,38054.973388671875,22307.756958007813,70.36480712890625,16788910080,12884901888,12471066624,0
198,1765796720388,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,0,0,0.869903564453125,0,0,0,0,0,0,0,0,0,0,6.74169921875,76.02347564697266,21.36017608642578,33.54508972167969,91.11725616455078,5.120201110839844,0,0,38056.76934814453,22308.712768554688,70.36480712890625,16788910080,12884901888,12473344000,0
200,1765796720587,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,0.06897735595703125,0,0.47055816650390625,0,0,0,0,0,0,0,0,0,0,7.149513244628906,54.136993408203125,13.142631530761719,29.27935028076172,80.28832244873047,4.024391174316406,0,0,38058.31726074219,22309.509521484375,70.36480712890625,16788910080,12884901888,12474728448,0
199,1765796720788,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,0,0,0,0,0,0,0,0,0,0,0,0,0,4.241302490234375,58.91611862182617,33.16883850097656,46.7067985534668,77.06364440917969,8.684967041015625,0,0,38059.779235839844,22310.12579345703,70.3682861328125,16788910080,12884901888,12475510784,0
200,1765796720988,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,11.290000915527344,10.117019653320313,12.288963317871094,0,0,0,0,0,0,0,0,0,0.1842803955078125,25.411865234375,73.74826049804688,31.989768981933594,73.54615020751953,92.08662414550781,46.45148849487305,0,0,38061.82849121094,22311.33477783203,70.3682861328125,16788910080,12884901888,12499726336,0
199,1765796721189,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,7.050628662109375,1.6274948120117188,2.3759765625,0,0,0,0,0,0,0,0,0,0,11.374893188476563,77.62763214111328,32.18091583251953,70.72528076171875,93.5418472290039,68.12467956542969,0,0,38064.04852294922,22312.744079589844,70.3682861328125,16788910080,12884901888,12512698368,0
200,1765796721389,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,6.9228363037109375,0.5341949462890625,9.92333984375,0.08531951904296875,0.06304168701171875,0.06293487548828125,0.0627899169921875,0.06273651123046875,0.06273651123046875,0.06269073486328125,0.06258392333984375,0.0624847412109375,0.07140350341796875,11.135986328125,64.80894470214844,30.42548370361328,56.54308319091797,81.92240142822266,37.16395950317383,0.06308746337890625,0,38065.903381347656,22313.776428222656,70.3682861328125,16788910080,12884901888,12521361408,0
200,1765796721590,1506,2300,1506,1506,2300,2300,1488,1488,1488,1488,1488,1488,1506,1506,2300,1506,2300,1506,1506,1506,21.62432861328125,0.36257171630859375,1.1916122436523438,0,0,0,0,0,0,0,0,0,0,41.282386779785156,83.02350616455078,52.77962875366211,70.80865478515625,89.3179702758789,19.95410919189453,0,0,38067.771911621094,22314.83221435547,70.3682861328125,16788910080,12884901888,12531261440,0
